objectClass;ou;distinguishedName;name;homeMDB;cn;sn;c;telephoneNumber;facsimileTelephoneNumber;givenName;displayName;co;company;countryCode;employeeID;sAMAccountName;userPrincipalName;manager;mobile;pager;targetAddress;title;l;department;
user;;CN=seaton,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;seaton;;seaton;Eaton;UK;+44 1223 555 773;;Susan;Eaton, Susan;UNITED KINGDOM;Fabrikam;0;89171;seaton;seaton@na.corp.contoso.com;CN=juhapekkp,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;;;SMTP:susane@fabrikam.com;Engineer;Cambridge;Research & Development;
user;;CN=rachelv,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;rachelv;CN=Second Mailbox Store (SG2);rachelv;Valdez;US;+1 650 555 9786;+1 650 555 4000;Rachel;Valdez, Rachel;UNITED STATES;Contoso;0;96023;rachelv;rachelv@na.corp.contoso.com;CN=davidolil,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 1897;+1 888 555 6576;;Group Customer Service Representative;Palo Alto;Customer Service;
user;;CN=gerickson,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;gerickson;CN=Second Mailbox Store (SG2);gerickson;Erickson;US;+1 212 555 5557;+1 212 555 3204;Gail;Erickson, Gail;UNITED STATES;Contoso;0;110724;gerickson;gerickson@na.corp.contoso.com;CN=janainabb,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 5725;+1 866 555 7730;;Human Resources Manager;New York;Human Resources;
user;;CN=bgoldste,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;bgoldste;;bgoldste;Goldstein;UK;+44 1223 555 332;;Brian Richard;Goldstein, Brian Richard;UNITED KINGDOM;Fabrikam;0;111135;bgoldste;bgoldste@na.corp.contoso.com;CN=juhapekkp,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;;;SMTP:brianricg@fabrikam.com;IT Technician;Cambridge;Research & Development;
user;;CN=afrancesl,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;afrancesl;CN=First Mailbox Store (SG2);afrancesl;Leonetti;US;+1 650 555 1247;+1 650 555 4000;A. Francesca;Leonetti, A. Francesca;UNITED STATES;Contoso;0;114737;afrancesl;afrancesl@na.corp.contoso.com;CN=davidolil,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 1896;+1 888 555 2487;;Customer Service Representative;Palo Alto;Customer Service;
user;;CN=francoisa,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;francoisa;CN=First Mailbox Store (SG1);francoisa;Ajenstat;US;+1 650 555 0344;+1 650 555 4500;Francois;Ajenstat, Francois;UNITED STATES;Contoso;0;122999;francoisa;francoisa@na.corp.contoso.com;CN=tcarlson,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 0331;+1 888 555 8963;;Engineer;Palo Alto;Research & Development;
user;;CN=rvenugopa,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;rvenugopa;CN=Second Mailbox Store (SG1);rvenugopa;Venugopal;US;+1 650 555 2088;+1 650 555 4500;Raja;Venugopal, Raja;UNITED STATES;Contoso;0;127168;rvenugopa;rvenugopa@na.corp.contoso.com;CN=tcarlson,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 5466;+1 888 555 5893;;Lead Engineer;Palo Alto;Research & Development;
user;;CN=jptaszyn,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;jptaszyn;;jptaszyn;Ptaszynski;UK;+44 1223 555 026;;James (Jim);Ptaszynski, Jim;UNITED KINGDOM;Fabrikam;0;139591;jptaszyn;jptaszyn@na.corp.contoso.com;CN=juhapekkp,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;;;SMTP:jptaszyns@fabrikam.com;Lead Engineer;Cambridge;Research & Development;
user;;CN=awright,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;awright;;awright;Wright;UK;+44 1223 555 643;;A. Scott;Wright, A. Scott;UNITED KINGDOM;Fabrikam;0;140316;awright;awright@na.corp.contoso.com;CN=juhapekkp,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;;;SMTP:ascottw@fabrikam.com;Engineer;Cambridge;Research & Development;
user;;CN=bonnies,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;bonnies;CN=First Mailbox Store (SG1);bonnies;Skelly;US;+1 214 555 1662;+1 214 555 6000;Bonnie;Skelly, Bonnie;UNITED STATES;Contoso;0;156133;bonnies;bonnies@na.corp.contoso.com;CN=dbradley,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 214 555 1304;;;Director: IT;Dallas;Information Technology;
user;;CN=michaelb,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;michaelb;CN=Second Mailbox Store (SG2);michaelb;Blythe;US;+1 425 555 7142;+1 425 555 7100;Michael;Blythe, Michael;UNITED STATES;Contoso;0;167569;michaelb;michaelb@na.corp.contoso.com;CN=davidolil,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 425 555 9525;+1 800 555 7901;;Customer Service Representative;Redmond;Customer Service;
user;;CN=drichards,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;drichards;CN=First Mailbox Store (SG1);drichards;Richards;US;+1 650 555 4543;+1 650 555 4000;Dave (David);Richards, David;UNITED STATES;Contoso;0;171037;drichards;drichards@na.corp.contoso.com;CN=davidolil,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 7878;+1 888 555 9832;;Lead Customer Service Representative;Palo Alto;Customer Service;
user;;CN=stejani,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;stejani;;stejani;Tejani;UK;+44 1223 555 456;;Sameer;Tejani, Sameer;UNITED KINGDOM;Fabrikam;0;171880;stejani;stejani@na.corp.contoso.com;CN=juhapekkp,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;;;SMTP:sameert@fabrikam.com;Lead Engineer;Cambridge;Research & Development;
user;;CN=ksaravan,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;ksaravan;CN=First Mailbox Store (SG2);ksaravan;Saravan;US;+1 212 555 4485;+1 212 555 3204;K.;Saravan, K.;UNITED STATES;Contoso;0;174015;ksaravan;ksaravan@na.corp.contoso.com;CN=davidolil,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 8925;+1 866 555 3154;;Customer Service Representative;New York;Customer Service;
user;;CN=ronaldos,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;ronaldos;CN=First Mailbox Store (SG1);ronaldos;Smith;US;+1 212 555 1991;+1 212 555 3204;Ronaldo;Smith, Ronaldo;UNITED STATES;Contoso;0;193382;ronaldos;ronaldos@na.corp.contoso.com;CN=jwilliams,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 5551;+1 866 555 4342;;Marketing Associate;New York;Marketing;
user;;CN=chill,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;chill;;chill;Hill;UK;+44 1223 555 780;;Christopher (Chris);Hill, Chris;UNITED KINGDOM;Fabrikam;0;196257;chill;chill@na.corp.contoso.com;CN=juhapekkp,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;;;SMTP:christoph@fabrikam.com;Engineer I;Cambridge;Research & Development;
user;;CN=stephenj,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;stephenj;CN=First Mailbox Store (SG1);stephenj;Jiang;US;+1 425 555 2597;+1 425 555 7100;Stephen;Jiang, Stephen;UNITED STATES;Contoso;0;216543;stephenj;stephenj@na.corp.contoso.com;CN=davidolil,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 425 555 5961;+1 800 555 3484;;Customer Svc Representative;Redmond;Customer Service;
user;;CN=cdawson,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;cdawson;CN=First Mailbox Store (SG2);cdawson;Dawson;US;+1 650 555 8787;+1 650 555 2100;C. Matt;Dawson, C. Matt;UNITED STATES;Contoso;0;234084;cdawson;cdawson@na.corp.contoso.com;CN=psingh,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 4566;+1 888 555 6845;;Sales Representative;Palo Alto;Sales;
user;;CN=mzwilling,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;mzwilling;CN=First Mailbox Store (SG2);mzwilling;Zwilling;US;+1 650 555 6786;+1 650 555 4000;Michael;Zwilling, Michael;UNITED STATES;Contoso;0;246761;mzwilling;mzwilling@na.corp.contoso.com;CN=dbradley,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;;;;Director:  Customer Service;Palo Alto;Customer Service;
user;;CN=mingle,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;mingle;CN=Second Mailbox Store (SG1);mingle;Ingle;US;+1 312 555 4565;+1 312 555 2500;Marc;Ingle, Marc;UNITED STATES;Contoso;0;288071;mingle;mingle@na.corp.contoso.com;CN=jwilliams,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 312 555 0998;+1 312 555 2244;;Marketing Associate;Chicago;Marketing;
user;;CN=gstraatsm,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;gstraatsm;CN=First Mailbox Store (SG2);gstraatsm;Straatsma;US;+1 650 555 4788;+1 650 555 4500;Gerrit;Straatsma, Gerrit;UNITED STATES;Contoso;0;305446;gstraatsm;gstraatsm@na.corp.contoso.com;CN=tcarlson,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 3243;+1 888 555 5614;;Engineer;Palo Alto;Research & Development;
user;;CN=ywong,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;ywong;CN=First Mailbox Store (SG1);ywong;Wong;US;+1 650 555 0568;+1 650 555 1000;Y.;Wong, Y.;UNITED STATES;Contoso;0;322655;ywong;ywong@na.corp.contoso.com;CN=gsandoval,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 6767;+1 888 555 8941;;Security Associate;Palo Alto;Facilities;
user;;CN=suzanadec,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;suzanadec;CN=First Mailbox Store (SG1);suzanadec;Canuto;US;+1 650 555 8709;+1 650 555 4500;Suzana De Abreu;Canuto, Suzana De Abreu;UNITED STATES;Contoso;0;337513;suzanadec;suzanadec@na.corp.contoso.com;CN=tcarlson,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 3682;+1 888 555 7920;;Engineer I;Palo Alto;Research & Development;
user;;CN=patrickc,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;patrickc;CN=Second Mailbox Store (SG2);patrickc;Cook;US;+1 650 555 1579;+1 650 555 4000;Patrick;Cook, Patrick;UNITED STATES;Contoso;0;348529;patrickc;patrickc@na.corp.contoso.com;CN=davidolil,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 3598;+1 888 555 1913;;Customer Service Representative;Palo Alto;Customer Service;
user;;CN=andrewh,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;andrewh;CN=First Mailbox Store (SG2);andrewh;Hill;US;+1 650 555 9878;+1 650 555 1000;Andrew (Andy);Hill, Andy;UNITED STATES;Contoso;0;371698;andrewh;andrewh@na.corp.contoso.com;CN=gerickson,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 8234;+1 888 555 7250;;Human Resources Assistant;Palo Alto;Human Resources;
user;;CN=todell,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;todell;CN=Second Mailbox Store (SG1);todell;ODell;US;+1 650 555 8600;+1 650 555 4500;Tina;ODell, Tina;UNITED STATES;Contoso;0;372765;todell;todell@na.corp.contoso.com;CN=tcarlson,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 6833;+1 888 555 6283;;Bio-Chem Engineer;Palo Alto;Research & Development;
user;;CN=jamesg,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;jamesg;CN=Second Mailbox Store (SG1);jamesg;Glynn;US;+1 650 555 8789;+1 650 555 4500;James (Jim);Glynn, Jim;UNITED STATES;Contoso;0;376127;jamesg;jamesg@na.corp.contoso.com;CN=tcarlson,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 7687;+1 888 555 8447;;Senior Engineer;Palo Alto;Research & Development;
user;;CN=elizabetk,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;elizabetk;CN=First Mailbox Store (SG2);elizabetk;Keyser;US;+1 650 555 4365;+1 650 555 4000;Elizabeth (Liz);Keyser, Liz;UNITED STATES;Contoso;0;387459;elizabetk;elizabetk@na.corp.contoso.com;CN=davidolil,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 7684;+1 888 555 2436;;Customer Service Representative;Palo Alto;Customer Service;
user;;CN=jauricchi,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;jauricchi;CN=First Mailbox Store (SG2);jauricchi;Auricchio;US;+1 650 555 2904;+1 650 555 4000;Jose Luis;Auricchio, Jose Luis;UNITED STATES;Contoso;0;400686;jauricchi;jauricchi@na.corp.contoso.com;CN=davidolil,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 6574;+1 888 555 4060;;Lead Customer Service Representative;Palo Alto;Customer Service;
user;;CN=danielt,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;danielt;CN=First Mailbox Store (SG1);danielt;Taylor;US;+1 650 555 3433;+1 650 555 4000;Daniel;Taylor, Daniel;UNITED STATES;Contoso;0;420074;danielt;danielt@na.corp.contoso.com;CN=davidolil,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 5655;+1 888 555 5748;;Group Customer Service Representative;Palo Alto;Customer Service;
user;;CN=terrencee,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;terrencee;;terrencee;Earls;UK;+44 1223 555 234;;Terrence (Terry);Earls, Terry;UNITED KINGDOM;Fabrikam;0;445021;terrencee;terrencee@na.corp.contoso.com;CN=juhapekkp,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;;;SMTP:terrencee@fabrikam.com;Engineer I;Cambridge;Research & Development;
user;;CN=williamm,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;williamm;CN=Second Mailbox Store (SG1);williamm;Malone;US;+1 650 555 3434;+1 650 555 2100;William;Malone, William;UNITED STATES;Contoso;0;453576;williamm;williamm@na.corp.contoso.com;CN=psingh,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 4568;+1 888 555 4990;;Sales Assistant;Palo Alto;Sales;
user;;CN=kennethl,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;kennethl;CN=Second Mailbox Store (SG1);kennethl;Ledyard;US;+1 650 555 6854;+1 650 555 4500;Kenneth (Ken);Ledyard, Ken;UNITED STATES;Contoso;0;455811;kennethl;kennethl@na.corp.contoso.com;CN=tcarlson,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 6575;+1 888 555 7800;;Research Assistant;Palo Alto;Research & Development;
user;;CN=sreategui,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;sreategui;CN=First Mailbox Store (SG2);sreategui;Reategui Alayo;US;+1 650 555 3678;+1 650 555 9800;Sandra;Reategui Alayo, Sandra;UNITED STATES;Contoso;0;464092;sreategui;sreategui@na.corp.contoso.com;CN=gsandoval,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 5678;+1 888 555 3170;;Security Officer;Palo Alto;Operations;
user;;CN=dbacon,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;dbacon;CN=First Mailbox Store (SG2);dbacon;Bacon;US;+1 425 555 5892;+1 425 555 7100;Dan;Bacon, Dan;UNITED STATES;Contoso;0;473311;dbacon;dbacon@na.corp.contoso.com;CN=tcarlson,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 425 555 2983;+1 800 555 6940;;Engineer I;Redmond;Research & Development;
user;;CN=fmartinez,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;fmartinez;CN=First Mailbox Store (SG2);fmartinez;Martinez;US;+1 212 555 3671;+1 212 555 3204;Frank;Martinez, Frank;UNITED STATES;Contoso;0;481474;fmartinez;fmartinez@na.corp.contoso.com;CN=bonnies,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 6085;+1 866 555 1263;;Lead IT Technician;New York;Information Technology;
user;;CN=davidolil,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;davidolil;CN=Second Mailbox Store (SG1);davidolil;Lawrence;US;+1 214 555 2927;+1 214 555 6000;David Oliver;Lawrence, David Oliver;UNITED STATES;Contoso;0;501416;davidolil;davidolil@na.corp.contoso.com;CN=mzwilling,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 9297;;;Customer Service Manager;Dallas;Customer Service;
user;;CN=jwilliams,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;jwilliams;CN=Second Mailbox Store (SG2);jwilliams;Williams;US;+1 650 555 2399;+1 650 555 2300;Jill;Williams, Jill;UNITED STATES;Contoso;0;502345;jwilliams;jwilliams@na.corp.contoso.com;CN=psingh,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 8540;+1 888 555 3854;;Marketing Manager;Palo Alto;Marketing;
user;;CN=benjaminw,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;benjaminw;CN=Second Mailbox Store (SG1);benjaminw;Willett;US;+1 650 555 4540;+1 650 555 4000;Benjamin;Willett, Benjamin;UNITED STATES;Contoso;0;504082;benjaminw;benjaminw@na.corp.contoso.com;CN=davidolil,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 1844;+1 888 555 1372;;Customer Service Representative;Palo Alto;Customer Service;
user;;CN=bhurtado,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;bhurtado;CN=First Mailbox Store (SG2);bhurtado;Hurtado;US;+1 650 555 8890;+1 650 555 9800;Begona;Hurtado, Begona;UNITED STATES;Contoso;0;508522;bhurtado;bhurtado@na.corp.contoso.com;CN=janainabb,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 1837;+1 888 555 9287;;Sanitation Associate;Palo Alto;Operations;
user;;CN=kbrowne,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;kbrowne;;kbrowne;Browne;UK;+44 1223 555 719;;Kevin;Browne, Kevin;UNITED KINGDOM;Fabrikam;0;514603;kbrowne;kbrowne@na.corp.contoso.com;CN=juhapekkp,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;;;SMTP:kbrowne@fabrikam.com;Bio-Chemical Engineer;Cambridge;Research & Development;
user;;CN=mdempsey,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;mdempsey;CN=First Mailbox Store (SG2);mdempsey;Dempsey;US;+1 425 555 7128;+1 425 555 7100;Mary (Molly);Dempsey, Molly;UNITED STATES;Contoso;0;516825;mdempsey;mdempsey@na.corp.contoso.com;CN=timothys,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 425 555 2129;+1 800 555 1006;;Administrative Associate;Redmond;Operations;
user;;CN=michaelh,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;michaelh;CN=First Mailbox Store (SG2);michaelh;Hummer;US;+1 425 555 3023;+1 425 555 7100;Michael;Hummer, Michael;UNITED STATES;Contoso;0;516921;michaelh;michaelh@na.corp.contoso.com;CN=tcarlson,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 425 555 7021;+1 800 555 1909;;Assoc. Engineer;Redmond;Research & Development;
