EmployeeID;EmployeeStartDate;EmployeeDepartureDate;EmployeeStatus;EmployeeType;Surname;MiddleName;GivenName;Country;TelephoneNumber;FacsimileTelephoneNumber;Company;Manager;Mobile;Pager;Title;Location;Department;Birthday
534135;20040101;0;3;A;Varkev Chudukatil;;Ranjit;US;2125557471;2125553204;Contoso;156133;9175553246;8665552606;Lead IT Analyst;New York;Information Technology;19700214
537701;20040101;0;3;A;Posti;;Juha-Pekka;US;2145552339;2145556000;Contoso;647441;2145556966;;Research & Development Manager;Dallas;Research & Development;19700404
538935;20040101;0;3;A;Campbell;;John;US;6505552837;6505554000;Contoso;501416;9175550058;8885552500;Group Customer Service Representative;Palo Alto;Customer Service;19651212
545427;20040101;20050117;1;A;Berger;;Katherine (Kate);US;6505553092;6505554500;Contoso;83321;9175553457;8885558707;Senior Engineer;Palo Alto;Research & Development;19450423
569278;20040101;0;3;A;Smith-Bates;;Lorrin;GB;1223 555 568;;Fabrikam;537701;;;Engineer;Cambridge;Research & Development;19700202
569642;20040101;0;3;A;Ting;;Hung-Fu (Tony);US;6505558578;6505554000;Contoso;501416;9175555932;8885553494;Customer Service Representative;Palo Alto;Customer Service;19620123
578041;20040101;0;3;A;Cheng;;Yao-Qiang;GB;1223 555 342;;Fabrikam;537701;;;Engineer I;Cambridge;Research & Development;19680920
580576;20040101;0;3;A;Sneath;;Timothy (Tim);US;2125552867;2125553204;Contoso;57339;9175558907;8665558393;Manager Administrative Operations;New York;Operations;19670303
589765;20040101;0;3;A;Singh;;Surinder (Paul);US;2125554344;2125553204;Contoso;42399;9175552695;8665556967;Director: Sales;New York;Sales;19571112
593445;20040101;0;3;A;McAskill-White;;Katie;US;2125552883;2125553204;Contoso;501416;9175554800;8665559907;Customer Service Representative;New York;Customer Service;19730625
593570;20040101;0;3;A;Homer;;Kevin;US;6505551007;6505554000;Contoso;501416;9175552004;8885556320;Customer Service Representative;Palo Alto;Contoso;19700404
598298;20040101;0;3;A;Heidepriem;;Brandon;US;6505550654;6505554500;Contoso;83321;9175553446;8885558210;Senior Engineer;Palo Alto;Research & Development;19671204
607466;20040101;0;3;A;Reiter;;Tsvi;US;2125559536;2125553204;Contoso;110724;9175556513;8665558638;Human Resources Associate;New York;Human Resources;19741023
634220;20040101;0;3;A;Hite;;Douglas (Doug);US;6505554933;6505554500;Contoso;83321;9175556271;8885554860;Assoc. Engineer;Palo Alto;Research & Development;19631129
647441;20040101;0;3;A;Pinto;;Paulo;US;6505552348;6505554500;Contoso;42399;9175553589;8885559986;Director: Research & Development;Palo Alto;Research & Development;19780706
650059;20040101;0;3;A;Alderson;;Gregory (Greg);US;6505552347;6505555500;Contoso;156133;9175556185;8885553292;IT Analyst I;Palo Alto;Information Technology;19591202
662156;20040101;0;3;A;Henshaw;;Jeff;US;6505553476;6505554500;Contoso;83321;9175555456;8885558385;Senior Engineer;Palo Alto;Research & Development;19751015
681581;20040101;0;3;A;Byham;;Richard;GB;1223 555 675;;Fabrikam;537701;;;Engineer II;Cambridge;Research & Development;19700404
686305;20040101;0;3;A;Borba;;Liana;US;6505550944;6505559800;Contoso;580576;9175552328;8885558789;Group Administrative Associate;Palo Alto;Operations;19450323
693943;20040101;0;3;A;Campbell;;John;US;6505553478;6505554500;Contoso;83321;9175555614;8885558311;Engineer II;Palo Alto;Research & Development;19650419
694788;20040101;0;3;A;Campbell;;John;US;6505550954;6505554000;Contoso;501416;9175555487;8885555037;Lead Customer Service Representative;Palo Alto;Customer Service;19811212
696927;20040101;0;3;A;Chia;;Lee;US;6505553458;6505559800;Contoso;57339;9175555649;8885559818;MailRoom Associate;Palo Alto;Operations;19730101
700200;20040101;0;3;A;Kelly;;Robert (Bob);GB;1223 555 576;;Fabrikam;537701;;;Engineer;Cambridge;Research & Development;19700404
709772;20040101;0;3;A;Burnell;;Dana;US;6505554589;6505554000;Contoso;501416;9175556787;8885557347;Customer Service Representative;Palo Alto;Customer Service;19831104
722805;20040101;0;3;A;Loh;;Kok-Ho;US;6505553478;6505554000;Contoso;501416;9175553455;8885555452;Customer Service Representative;Palo Alto;Customer Service;19700404
726490;20040101;0;3;A;Vargas;;Garrett;US;6505553578;6505554000;Contoso;501416;9175552426;8885558227;Customer Service Representative;Palo Alto;Customer Service;19700404
729845;20040101;0;3;A;Ray;;Michael;GB;1223 55 110;;Fabrikam;537701;;;Engineer I;Cambridge;Research & Development;19700404
745104;20040101;0;3;A;Keiser;;Debra;US;4255556174;4255557100;Contoso;83321;4255555454;8005552411;Engineer;Redmond;Research & Development;19830918
759939;20040101;0;3;A;Liu;;David;US;6505553458;6505554500;Contoso;83321;9175553493;8885558252;Lead Bio-Chem Engineer;Palo Alto;Research & Development;19810809
760513;20040101;0;3;A;Combel;;Craig;US;6505550098;6505552100;Contoso;589765;9175555485;8885555900;Sales Representative;Palo Alto;Sales;19790909
772121;20040101;0;3;A;Murray;;Billie Jo;GB;1223 555 769;;Fabrikam;537701;;;Bio-Chem Engineer;Cambridge;Research & Development;19700404
778097;20040101;0;3;A;Ryan;;David (Dave);US;6505553194;6505554000;Contoso;501416;9175553546;8885556968;Group Customer Service Representative;Palo Alto;Customer Service;19730915
784786;20040101;0;3;A;Kahn;;Wendy;US;6505551299;6505554500;Contoso;83321;9175559873;8885553738;Bio-Chem Engineer II;Palo Alto;Research & Development;19630330
812402;20040101;0;3;A;Salmre;;Ivo;US;6505553546;6505555500;Contoso;156133;9175556549;8885559500;IT Technician II;Palo Alto;Information Technology;19630504
820313;20040101;0;3;A;Sandoval;;Giraldo;US;6505553458;6505551000;Contoso;57339;9175559832;8885559830;Security Manager;Palo Alto;Facilities;19680924
869138;20040101;0;3;A;Mirchindani;;Nitin;US;6505553547;6505554500;Contoso;83321;9175556842;8885551796;Engineer;Palo Alto;Research & Development;19701223
871357;20040101;0;3;A;Barker;;Robert;GB;1223 555 105;;Fabrikam;537701;;;Lead Bio-Chem Engineer;Cambridge;Research & Development;19700404
895252;20040101;0;3;A;Graff;;Eliot;US;6505554560;6505559800;Contoso;580576;9175558973;8885551666;Administrative Associate;Palo Alto;Operations;19540909
926993;20040101;0;3;A;Altman;;Gary;US;6505551004;6505554500;Contoso;83321;9175556873;8885558881;Engineer I;Palo Alto;Research & Development;19700613
931181;20040101;0;3;A;Kastner;;Steven;US;6505553546;6505554000;Contoso;501416;9175553434;8885551989;Customer Service Representative;Palo Alto;Customer Service;19670504
938103;20040101;0;3;A;Hagens;;Erin;US;6505550098;6505559800;Contoso;580576;9175558434;8885556884;Lead Administrative Associate;Palo Alto;Operations;19700412
949529;20040101;0;3;A;Hines;;Michael (Mike);US;6505553444;6505554500;Contoso;83321;9175559863;8885559561;Engineer II;Palo Alto;Research & Development;19450606
997660;20040101;0;3;A;Rao;;Arvind;US;6505555916;6505555500;Contoso;156133;9175553433;8885556643;Lead IT Technician;Palo Alto;Information Technology;19670505
